fid,UBIGEO,CODDPTO,NOMBDPTO,CODPROV,NOMBPROV,CODDIST,NOMBDIST,CODCCPP,NOMCCPP,CODZONA,SUFZONA,CODMZNA,SUFMZNA,CIUDAD,IDMANZANA,ID
"2573","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"019","02","016",O,CHIMBOTE,02180901902016O,"2573"
"2574","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"019","02","016",N,CHIMBOTE,02180901902016N,"2574"
"2575","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"019","02","016",M,CHIMBOTE,02180901902016M,"2575"
"2576","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"019","02","016",L,CHIMBOTE,02180901902016L,"2576"
"2577","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"019","02","016",K,CHIMBOTE,02180901902016K,"2577"
"2578","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"019","02","017",A,CHIMBOTE,02180901902017A,"2578"
"2579","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"019","02","034",N,CHIMBOTE,02180901902034N,"2579"
"2580","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"019","02","035",A,CHIMBOTE,02180901902035A,"2580"
"2581","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"019","02","040",A,CHIMBOTE,02180901902040A,"2581"
"2582","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"019","02","039",,CHIMBOTE,"02180901902039","2582"
"2583","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"019","02","009",A,CHIMBOTE,02180901902009A,"2583"
"2584","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"019","02","009",,CHIMBOTE,"02180901902009","2584"
"2585","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"002","00","007",A,CHIMBOTE,02180900200007A,"2585"
"2586","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"021","01","011",,CHIMBOTE,"02180902101011","2586"
"2587","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"021","01","011",A,CHIMBOTE,02180902101011A,"2587"
"2588","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"021","01","029",A,CHIMBOTE,02180902101029A,"2588"
"2589","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"021","01","029",B,CHIMBOTE,02180902101029B,"2589"
"2590","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"021","01","029",C,CHIMBOTE,02180902101029C,"2590"
"2591","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"021","01","029",D,CHIMBOTE,02180902101029D,"2591"
"2592","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"021","01","046",A,CHIMBOTE,02180902101046A,"2592"
"2593","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"021","01","047",A,CHIMBOTE,02180902101047A,"2593"
"2594","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"021","01","047",C,CHIMBOTE,02180902101047C,"2594"
"2595","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"021","01","048",A,CHIMBOTE,02180902101048A,"2595"
"2596","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"021","01","048",B,CHIMBOTE,02180902101048B,"2596"
"2597","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"021","01","048",C,CHIMBOTE,02180902101048C,"2597"
"2598","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"021","01","029",F,CHIMBOTE,02180902101029F,"2598"
"2599","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"021","01","029",E,CHIMBOTE,02180902101029E,"2599"
"2600","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"019","00","022",A,CHIMBOTE,02180901900022A,"2600"
"2601","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"019","00","022",B,CHIMBOTE,02180901900022B,"2601"
"2602","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"006","00","016",B,CHIMBOTE,02180900600016B,"2602"
"2603","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"006","00","030",A,CHIMBOTE,02180900600030A,"2603"
"2604","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"006","00","030",,CHIMBOTE,"02180900600030","2604"
"2605","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"006","00","037",,CHIMBOTE,"02180900600037","2605"
"2606","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"006","00","037",A,CHIMBOTE,02180900600037A,"2606"
"2607","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"008","00","056",,CHIMBOTE,"02180900800056","2607"
"2608","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"008","00","055",,CHIMBOTE,"02180900800055","2608"
"2609","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"020","00","004",E,CHIMBOTE,02180902000004E,"2609"
"2610","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"018","00","016",A,CHIMBOTE,02180901800016A,"2610"
"2611","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"018","00","024",C,CHIMBOTE,02180901800024C,"2611"
"2612","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"018","00","024",D,CHIMBOTE,02180901800024D,"2612"
"2613","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"018","00","039",T,CHIMBOTE,02180901800039T,"2613"
"2614","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"018","00","039",U,CHIMBOTE,02180901800039U,"2614"
"2615","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"018","00","039",V,CHIMBOTE,02180901800039V,"2615"
"2616","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"018","00","053",D,CHIMBOTE,02180901800053D,"2616"
"2617","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"018","00","053",B,CHIMBOTE,02180901800053B,"2617"
"2618","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"018","00","053",F,CHIMBOTE,02180901800053F,"2618"
"2619","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"018","00","053",C,CHIMBOTE,02180901800053C,"2619"
"2620","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"018","00","053",E,CHIMBOTE,02180901800053E,"2620"
"2621","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"018","00","053",J,CHIMBOTE,02180901800053J,"2621"
"2622","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"018","00","053",G,CHIMBOTE,02180901800053G,"2622"
"2623","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"018","00","053",H,CHIMBOTE,02180901800053H,"2623"
"2624","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"018","00","063",H,CHIMBOTE,02180901800063H,"2624"
"2625","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"021","02","004",C,CHIMBOTE,02180902102004C,"2625"
"2626","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"021","02","004",B,CHIMBOTE,02180902102004B,"2626"
